,x,y
0,19.497917175293082,30.379304885864315
1,19.497917175293082,30.3790283203125
2,19.49819374084467,30.3790283203125
3,19.49819374084467,30.37847137451172
4,19.49847221374506,30.37847137451172
5,19.49847221374506,30.37819480895996
6,19.49875068664562,30.37819480895996
7,19.49875068664562,30.378042221069336
8,19.49875068664562,30.37791633605957
9,19.499305725097656,30.37791633605957
10,19.499305725097656,30.37830734252941
11,19.499305725097656,30.380050659179744
12,19.499305725097656,30.380971908569393
13,19.50152778625494,30.380971908569393
14,19.50152778625494,30.381526947021598
15,19.50263977050787,30.381526947021598
16,19.50263977050787,30.381250381469783
17,19.502916336059684,30.381250381469783
18,19.502916336059684,30.38104820251459
19,19.502916336059684,30.380971908569393
20,19.50319671630865,30.380971908569393
21,19.50319671630865,30.380695343017635
22,19.503471374511832,30.380695343017635
23,19.503471374511832,30.380416870117244
24,19.503757476806754,30.380416870117244
25,19.504026412963867,30.380416870117244
26,19.504026412963867,30.380544662475643
27,19.504026412963867,30.381488800048885
28,19.504026412963867,30.38208389282238
29,19.504304885864258,30.38208389282238
30,19.504304885864258,30.382360458374137
31,19.50458335876459,30.382360458374137
32,19.50458335876459,30.382638931274528
33,19.504861831664982,30.382638931274528
34,19.504861831664982,30.38291740417492
35,19.50513648986822,30.38291740417492
36,19.50513648986822,30.38319206237793
37,19.507083892822322,30.38319206237793
38,19.507083892822322,30.383472442626896
39,19.508214950561523,30.383472442626896
40,19.509862899780387,30.383472442626896
41,19.509862899780387,30.3840274810791
42,19.509027481079215,30.3840274810791
43,19.509027481079215,30.385414123535213
44,19.509862899780387,30.385414123535213
45,19.509862899780387,30.38513946533203
46,19.51041603088379,30.38513946533203
47,19.51041603088379,30.385414123535213
48,19.510139465332145,30.385414123535213
49,19.510139465332145,30.385694503784237
50,19.510971069335938,30.385694503784237
51,19.510971069335938,30.385974884033203
52,19.512083053588867,30.385974884033203
53,19.512083053588867,30.386249542236385
54,19.512916564941463,30.386249542236385
55,19.512916564941463,30.3865261077882
56,19.51319313049322,30.3865261077882
57,19.51319313049322,30.38680458068859
58,19.51347160339361,30.38680458068859
59,19.51347160339361,30.3865261077882
60,19.514152526855582,30.3865261077882
61,19.514583587646598,30.3865261077882
62,19.514583587646598,30.386959075927734
63,19.514583587646598,30.387636184692383
64,19.514860153198356,30.387636184692383
65,19.514862060546932,30.387361526489315
66,19.514986038208008,30.387361526489315
67,19.515693664550724,30.387361526489315
68,19.515693664550724,30.388069152832088
69,19.515693664550724,30.38875007629406
70,19.516250610351676,30.38875007629406
71,19.516250610351676,30.38902854919445
72,19.516525268554744,30.38902854919445
73,19.516525268554744,30.389305114746094
74,19.517095565795955,30.389305114746094
75,19.51736068725586,30.389305114746094
76,19.51736068725586,30.389453887939453
77,19.51736068725586,30.389583587646428
78,19.517593383789006,30.389583587646428
79,19.518194198608455,30.389583587646428
80,19.518194198608455,30.389858245849666
81,19.518747329712028,30.389862060546818
82,19.518747329712028,30.390136718750057
83,19.51902961730957,30.390136718750057
84,19.51902961730957,30.39038276672369
85,19.51902961730957,30.390972137451172
86,19.519582748413143,30.390972137451172
87,19.519582748413143,30.391250610351562
88,19.520139694213924,30.391250610351562
89,19.520139694213924,30.391527175903377
90,19.52096939086914,30.391527175903377
91,19.52096939086914,30.391424179077205
92,19.52096939086914,30.391250610351562
93,19.521251678466854,30.391250610351562
94,19.521251678466854,30.390972137451172
95,19.522083282470646,30.390972137451172
96,19.522083282470646,30.391250610351562
